IPTV-本地,#genre#
广东卫视高清,http://192.168.10.1:7088/udp/239.10.0.45:1025
经济科教高清,http://192.168.10.1:7088/udp/239.10.0.46:1025
广东体育高清,http://192.168.10.1:7088/udp/239.10.0.47:1025
广东珠江高清,http://192.168.10.1:7088/udp/239.10.0.63:1025
大湾区卫视高清,http://192.168.10.1:7088/udp/239.11.0.78:1025
广东影视高清,http://192.168.10.1:7088/udp/239.11.0.79:1025
广东民生高清,http://192.168.10.1:7088/udp/239.11.0.80:1025
广东少儿高清,http://192.168.10.1:7088/udp/239.11.0.81:1025
广东新闻高清,http://192.168.10.1:7088/udp/239.10.0.199:1025
嘉佳卡通高清,http://192.168.10.1:7088/udp/239.10.0.200:1025
岭南戏曲高清,http://192.168.10.1:7088/udp/239.11.0.180:1025
现代教育高清,http://192.168.10.1:7088/udp/239.11.0.181:1025

广东卫视,http://192.168.10.1:7088/udp/239.10.0.45:1025
精选频道1,http://192.168.10.1:7088/udp/239.11.0.15:1025
广东珠江,http://192.168.10.1:7088/udp/239.10.0.63:1025
广东新闻,http://192.168.10.1:7088/udp/239.10.0.199:1025
精选4k频道1,http://192.168.10.1:7088/udp/239.11.0.93:1025
广东民生,http://192.168.10.1:7088/udp/239.11.0.80:1025
精选4k频道2,http://192.168.10.1:7088/udp/239.10.0.42:1025
广东体育,http://192.168.10.1:7088/udp/239.10.0.47:1025
经济科教,http://192.168.10.1:7088/udp/239.10.0.46:1025
大湾区卫视,http://192.168.10.1:7088/udp/239.11.0.78:1025
广东影视,http://192.168.10.1:7088/udp/239.11.0.79:1025
广东少儿,http://192.168.10.1:7088/udp/239.11.0.81:1025
嘉佳卡通,http://192.168.10.1:7088/udp/239.10.0.200:1025
南方购物-精选,http://192.168.10.1:7088/udp/239.11.0.95:1025
移动频道,http://192.168.10.1:7088/udp/239.10.0.143:1025
南方购物,http://192.168.10.1:7088/udp/239.10.0.126:1025
岭南戏曲,http://192.168.10.1:7088/udp/239.11.0.180:1025
现代教育,http://192.168.10.1:7088/udp/239.11.0.181:1025

IPTV-央视,#genre#
CCTV-1综合,http://192.168.10.1:7088/udp/239.10.0.48:1025
CCTV-2财经,http://192.168.10.1:7088/udp/239.10.0.207:1025
CCTV-3综艺,http://192.168.10.1:7088/udp/239.10.0.101:1025
CCTV-4中文国际,http://192.168.10.1:7088/udp/239.10.0.245:1025
CCTV-5体育,http://192.168.10.1:7088/udp/239.10.0.102:1025
CCTV-6电影,http://192.168.10.1:7088/udp/239.10.0.103:1025
CCTV-7国防军事,http://192.168.10.1:7088/udp/239.10.0.208:1025
CCTV-8电视剧,http://192.168.10.1:7088/udp/239.10.0.104:1025
CCTV-9纪录,http://192.168.10.1:7088/udp/239.10.0.209:1025
CCTV-10科教,http://192.168.10.1:7088/udp/239.10.0.210:1025
CCTV-11戏曲,http://192.168.10.1:7088/udp/239.11.0.24:1025
CCTV-12社会与法,http://192.168.10.1:7088/udp/239.10.0.211:1025
CCTV-13新闻,http://192.168.10.1:7088/udp/239.10.0.198:1025
CCTV-14少儿,http://192.168.10.1:7088/udp/239.10.0.212:1025
CCTV-15音乐,http://192.168.10.1:7088/udp/239.11.0.25:1025
CGTN,http://192.168.10.1:7088/udp/239.10.0.196:1025
CCTV-17,http://192.168.10.1:7088/udp/239.10.0.244:1025

IPTV-卫视,#genre#
湖南卫视,http://192.168.10.1:7088/udp/239.10.0.49:1025
浙江卫视,http://192.168.10.1:7088/udp/239.10.0.50:1025
江苏卫视,http://192.168.10.1:7088/udp/239.10.0.51:1025
东方卫视,http://192.168.10.1:7088/udp/239.10.0.183:1025
安徽卫视,http://192.168.10.1:7088/udp/239.10.0.203:1025
北京卫视,http://192.168.10.1:7088/udp/239.10.0.131:1025
江西卫视,http://192.168.10.1:7088/udp/239.10.0.80:1025
深圳卫视,http://192.168.10.1:7088/udp/239.10.0.52:1025
河南卫视,http://192.168.10.1:7088/udp/239.11.0.94:1025
云南卫视,http://192.168.10.1:7088/udp/239.11.0.171:1025
陕西卫视,http://192.168.10.1:7088/udp/239.10.0.161:1025
山西卫视,http://192.168.10.1:7088/udp/239.10.0.162:1025
内蒙古卫视,http://192.168.10.1:7088/udp/239.10.0.163:1025
青海卫视,http://192.168.10.1:7088/udp/239.11.0.179:1025
海南卫视,http://192.168.10.1:7088/udp/239.11.0.172:1025
宁夏卫视,http://192.168.10.1:7088/udp/239.10.0.166:1025
西藏卫视,http://192.168.10.1:7088/udp/239.10.0.167:1025
新疆卫视,http://192.168.10.1:7088/udp/239.10.0.168:1025
甘肃卫视,http://192.168.10.1:7088/udp/239.11.0.175:1025
兵团卫视,http://192.168.10.1:7088/udp/239.10.0.170:1025
卡酷动画,http://192.168.10.1:7088/udp/239.10.0.172:1025
金鹰卡通,http://192.168.10.1:7088/udp/239.11.0.125:1025
炫动卡通,http://192.168.10.1:7088/udp/239.10.0.174:1025
山东教育,http://192.168.10.1:7088/udp/239.10.0.176:1025
财富天下,http://192.168.10.1:7088/udp/239.10.0.177:1025
厦门卫视,http://192.168.10.1:7088/udp/239.10.0.178:1025
三沙卫视,http://192.168.10.1:7088/udp/239.11.0.177:1025

VSPN电竞,http://192.168.10.1:7088/udp/239.10.0.84:1025
吉林延边卫视,http://192.168.10.1:7088/udp/239.10.0.140:1025
CETV-2,http://192.168.10.1:7088/udp/239.11.0.35:1025
CETV-4,http://192.168.10.1:7088/udp/239.11.0.176:1025

IPTV-央视高清,#genre#
CCTV-1高清,http://192.168.10.1:7088/udp/239.10.0.48:1025
CCTV-2高清,http://192.168.10.1:7088/udp/239.10.0.207:1025
CCTV-3高清,http://192.168.10.1:7088/udp/239.10.0.101:1025
CCTV-4高清,http://192.168.10.1:7088/udp/239.10.0.245:1025
CCTV-5高清,http://192.168.10.1:7088/udp/239.10.0.102:1025
CCTV-5+体育高清,http://192.168.10.1:7088/udp/239.10.0.213:1025
CCTV-6高清,http://192.168.10.1:7088/udp/239.10.0.103:1025
CCTV-7国防军事高清,http://192.168.10.1:7088/udp/239.10.0.208:1025
CCTV-8高清,http://192.168.10.1:7088/udp/239.10.0.104:1025
CCTV-9高清,http://192.168.10.1:7088/udp/239.10.0.209:1025
CCTV-10高清,http://192.168.10.1:7088/udp/239.10.0.210:1025
CCTV-11高清,http://192.168.10.1:7088/udp/239.11.0.24:1025
CCTV-12高清,http://192.168.10.1:7088/udp/239.10.0.211:1025
CCTV-13高清,http://192.168.10.1:7088/udp/239.10.0.198:1025
CCTV-14少儿高清,http://192.168.10.1:7088/udp/239.10.0.212:1025
CCTV-15高清,http://192.168.10.1:7088/udp/239.11.0.25:1025
爱体育高清,http://192.168.10.1:7088/udp/239.10.0.218:1025
CCTV-16高清,http://192.168.10.1:7088/udp/239.11.0.126:1025
CCTV-17农业高清,http://192.168.10.1:7088/udp/239.10.0.244:1025

CCTV4中文国际欧洲高清,http://192.168.10.1:7088/udp/239.11.0.101:1025
CCTV4中文国际美洲高清,http://192.168.10.1:7088/udp/239.11.0.102:1025
CGTN 英语,http://192.168.10.1:7088/udp/239.11.0.103:1025
CGTN 英文记录,http://192.168.10.1:7088/udp/239.11.0.104:1025
CGTN 西班牙语,http://192.168.10.1:7088/udp/239.11.0.105:1025
CGTN 法语,http://192.168.10.1:7088/udp/239.11.0.106:1025
CGTN 阿拉伯语,http://192.168.10.1:7088/udp/239.11.0.107:1025
CGTN 俄语,http://192.168.10.1:7088/udp/239.11.0.108:1025

IPTV-卫视高清,#genre#
湖南卫视高清,http://192.168.10.1:7088/udp/239.10.0.49:1025
浙江卫视高清,http://192.168.10.1:7088/udp/239.10.0.50:1025
江苏卫视高清,http://192.168.10.1:7088/udp/239.10.0.51:1025
北京卫视高清,http://192.168.10.1:7088/udp/239.10.0.131:1025
深圳卫视高清,http://192.168.10.1:7088/udp/239.10.0.52:1025
黑龙江卫视高清,http://192.168.10.1:7088/udp/239.10.0.53:1025
湖北卫视高清,http://192.168.10.1:7088/udp/239.10.0.54:1025
天津卫视高清,http://192.168.10.1:7088/udp/239.10.0.55:1025
山东卫视高清,http://192.168.10.1:7088/udp/239.10.0.56:1025
东方卫视高清,http://192.168.10.1:7088/udp/239.10.0.183:1025
辽宁卫视高清,http://192.168.10.1:7088/udp/239.10.0.58:1025
四川卫视高清,http://192.168.10.1:7088/udp/239.10.0.60:1025
金鹰纪实高清,http://192.168.10.1:7088/udp/239.10.0.59:1025
重庆卫视高清,http://192.168.10.1:7088/udp/239.10.0.205:1025
安徽卫视高清,http://192.168.10.1:7088/udp/239.10.0.203:1025
贵州卫视高清,http://192.168.10.1:7088/udp/239.10.0.222:1025
中国教育-1高清,http://192.168.10.1:7088/udp/239.10.0.223:1025
中国交通,http://192.168.10.1:7088/udp/239.10.0.72:1025
福建东南卫视高清,http://192.168.10.1:7088/udp/239.10.0.77:1025
上海纪实高清,http://192.168.10.1:7088/udp/239.10.0.78:1025
河北卫视高清,http://192.168.10.1:7088/udp/239.10.0.79:1025
江西卫视高清,http://192.168.10.1:7088/udp/239.10.0.80:1025
吉林卫视高清,http://192.168.10.1:7088/udp/239.10.0.81:1025
广西卫视高清,http://192.168.10.1:7088/udp/239.10.0.246:1025
甘肃卫视高清,http://192.168.10.1:7088/udp/239.11.0.175:1025
河南卫视高清,http://192.168.10.1:7088/udp/239.11.0.94:1025
云南卫视高清,http://192.168.10.1:7088/udp/239.11.0.171:1025
海南卫视高清,http://192.168.10.1:7088/udp/239.11.0.172:1025
金鹰卡通高清,http://192.168.10.1:7088/udp/239.11.0.125:1025
CETV-4高清,http://192.168.10.1:7088/udp/239.11.0.176:1025
三沙卫视高清,http://192.168.10.1:7088/udp/239.11.0.177:1025
青海卫视高清,http://192.168.10.1:7088/udp/239.11.0.179:1025
广东卫视超清,http://192.168.10.1:7088/udp/239.10.0.45:1025
经济科教超清,http://192.168.10.1:7088/udp/239.10.0.46:1025
广东体育超清,http://192.168.10.1:7088/udp/239.10.0.47:1025
广东珠江超清,http://192.168.10.1:7088/udp/239.10.0.63:1025
山东卫视超清,http://192.168.10.1:7088/udp/239.10.0.56:1025

IPTV-IPTV,#genre#
IPTV谍战剧场,http://192.168.10.1:7088/udp/239.10.0.8:1025
IPTV相声小品,http://192.168.10.1:7088/udp/239.10.0.9:1025
IPTV野外,http://192.168.10.1:7088/udp/239.10.0.10:1025
IPTV法治,http://192.168.10.1:7088/udp/239.10.0.11:1025

IPTV-其他,#genre#
爱电影,http://192.168.10.1:7088/udp/239.10.0.12:1025
经典电影,http://192.168.10.1:7088/udp/239.10.0.13:1025
爱大剧,http://192.168.10.1:7088/udp/239.10.0.14:1025
热播剧场,http://192.168.10.1:7088/udp/239.10.0.15:1025
爱综艺,http://192.168.10.1:7088/udp/239.10.0.16:1025
爱体育,http://192.168.10.1:7088/udp/239.10.0.218:1025
少儿动画,http://192.168.10.1:7088/udp/239.10.0.18:1025
魅力时尚,http://192.168.10.1:7088/udp/239.10.0.19:1025
收视指南,http://192.168.10.1:7088/udp/239.10.0.20:1025
汽摩,http://192.168.10.1:7088/udp/239.10.0.232:1025
书画,http://192.168.10.1:7088/udp/239.11.0.174:1025
老故事,http://192.168.10.1:7088/udp/239.10.0.33:1025
中学生,http://192.168.10.1:7088/udp/239.11.0.173:1025
环球奇观,http://192.168.10.1:7088/udp/239.10.0.36:1025
国学频道,http://192.168.10.1:7088/udp/239.10.0.38:1025
发现之旅,http://192.168.10.1:7088/udp/239.11.0.182:1025
兵器科技高清,http://192.168.10.1:7088/udp/239.11.0.57:1025
电视指南高清,http://192.168.10.1:7088/udp/239.11.0.58:1025
风云足球高清,http://192.168.10.1:7088/udp/239.11.0.59:1025
央视台球高清,http://192.168.10.1:7088/udp/239.11.0.60:1025
高尔夫网球高清,http://192.168.10.1:7088/udp/239.11.0.61:1025
女性时尚高清,http://192.168.10.1:7088/udp/239.11.0.62:1025
世界地理高清,http://192.168.10.1:7088/udp/239.11.0.63:1025
怀旧剧场高清,http://192.168.10.1:7088/udp/239.11.0.64:1025
风云剧场高清,http://192.168.10.1:7088/udp/239.11.0.65:1025
央视精品高清,http://192.168.10.1:7088/udp/239.11.0.66:1025
第一剧场高清,http://192.168.10.1:7088/udp/239.11.0.67:1025
风云音乐高清,http://192.168.10.1:7088/udp/239.11.0.68:1025
早期教育高清,http://192.168.10.1:7088/udp/239.11.0.100:1025

IPTV-咪咕,#genre#
咪咕-高清赛事29,http://192.168.10.1:7088/udp/239.11.0.22:1025
咪咕-高清赛事28,http://192.168.10.1:7088/udp/239.11.0.21:1025
咪咕-高清赛事27,http://192.168.10.1:7088/udp/239.11.0.20:1025
咪咕-高清赛事26,http://192.168.10.1:7088/udp/239.11.0.19:1025
咪咕-高清赛事25,http://192.168.10.1:7088/udp/239.11.0.18:1025
咪咕-高清赛事19,http://192.168.10.1:7088/udp/239.11.0.10:1025
咪咕-高清赛事18,http://192.168.10.1:7088/udp/239.11.0.9:1025
咪咕-高清赛事23,http://192.168.10.1:7088/udp/239.11.0.14:1025
咪咕-高清赛事22,http://192.168.10.1:7088/udp/239.11.0.13:1025
咪咕-高清赛事21,http://192.168.10.1:7088/udp/239.11.0.12:1025
咪咕-高清赛事20,http://192.168.10.1:7088/udp/239.11.0.11:1025
咪咕-高清赛事17,http://192.168.10.1:7088/udp/239.11.0.8:1025
咪咕-高清赛事16,http://192.168.10.1:7088/udp/239.11.0.7:1025
咪咕-高清赛事15,http://192.168.10.1:7088/udp/239.11.0.6:1025
咪咕-高清赛事14,http://192.168.10.1:7088/udp/239.11.0.5:1025
咪咕-高清赛事13,http://192.168.10.1:7088/udp/239.11.0.4:1025
咪咕-高清赛事12,http://192.168.10.1:7088/udp/239.11.0.3:1025
咪咕-高清赛事11,http://192.168.10.1:7088/udp/239.11.0.2:1025
咪咕-高清赛事10,http://192.168.10.1:7088/udp/239.11.0.1:1025
咪咕-高清赛事9,http://192.168.10.1:7088/udp/239.10.0.252:1025
咪咕-高清赛事8,http://192.168.10.1:7088/udp/239.10.0.251:1025
咪咕-高清赛事7,http://192.168.10.1:7088/udp/239.10.0.250:1025
咪咕-高清赛事6,http://192.168.10.1:7088/udp/239.10.0.249:1025
咪咕-高清赛事5,http://192.168.10.1:7088/udp/239.10.0.248:1025
咪咕-高清赛事4,http://192.168.10.1:7088/udp/239.10.0.247:1025
移动咪咕五大联赛4K-2,http://192.168.10.1:7088/udp/239.10.0.69:1025
咪咕五大联赛4K-1,http://192.168.10.1:7088/udp/239.10.0.68:1025
百视通高清直播室101,http://192.168.10.1:7088/udp/239.10.0.90:1025
百视通高清直播室102,http://192.168.10.1:7088/udp/239.10.0.91:1025
百视通高清直播室107,http://192.168.10.1:7088/udp/239.10.0.96:1025
百视通高清直播室106,http://192.168.10.1:7088/udp/239.10.0.95:1025
百视通高清直播室105,http://192.168.10.1:7088/udp/239.10.0.94:1025
百视通高清直播室104,http://192.168.10.1:7088/udp/239.10.0.93:1025
百视通高清直播室103,http://192.168.10.1:7088/udp/239.10.0.92:1025
咪咕-高清赛事1,http://192.168.10.1:7088/udp/239.10.0.87:1025
咪咕-高清赛事2,http://192.168.10.1:7088/udp/239.10.0.88:1025
咪咕-高清赛事3,http://192.168.10.1:7088/udp/239.10.0.89:1025
精选频道5,http://192.168.10.1:7088/udp/239.10.0.244:1025
精选频道4,http://192.168.10.1:7088/udp/239.10.0.243:1025
精选频道3,http://192.168.10.1:7088/udp/239.10.0.242:1025
精选4k频道3,http://192.168.10.1:7088/udp/239.10.0.86:1025
精选频道2,http://192.168.10.1:7088/udp/239.11.0.16:1025
