南方卫视高清,${host}/udp/239.21.0.84:3676
广东影视高清,${host}/udp/239.21.0.85:3680
广东少儿高清,${host}/udp/239.21.0.87:3688
嘉佳卡通高清,${host}/udp/239.21.0.94:3716
广州新闻高清,${host}/udp/239.11.0.139:1025
广州影视高清,${host}/udp/239.11.0.140:1025
广州法治高清,${host}/udp/239.11.0.141:1025
广州综合高清,${host}/udp/239.11.0.138:1025
汕头新闻综合高清,${host}/udp/239.21.0.101:3744
汕头经济生活高清,${host}/udp/239.21.0.102:3748
汕头文旅体育高清,${host}/udp/239.21.0.103:3752
揭阳电视台综合频道,${host}/udp/239.21.0.82:3668
揭阳电视台公共频道,${host}/udp/239.21.0.83:3672
江门综合高清,${host}/udp/239.10.0.219:1025
江门公共高清,${host}/udp/239.10.0.139:1025
江门教育高清,${host}/udp/239.10.0.152:1025
云浮综合高清,${host}/udp/239.11.0.96:1025
云浮文旅高清,${host}/udp/239.11.0.97:1025
茂名综合高清,${host}/udp/239.10.0.238:1025
茂名公共高清,${host}/udp/239.11.0.99:1025
河源新闻综合高清,${host}/udp/239.21.0.48:3532
佛山公共高清,${host}/udp/239.11.0.114:1025
佛山影视高清,${host}/udp/239.11.0.117:1025
佛山综合高清,${host}/udp/239.11.0.118:1025
南海频道高清,${host}/udp/239.11.0.115:1025
顺德频道高清,${host}/udp/239.11.0.116:1025
中山综合高清,${host}/udp/239.11.0.122:1025
中山公共高清,${host}/udp/239.11.0.123:1025
中山教育高清,${host}/udp/239.11.0.124:1025
韶关综合高清,${host}/udp/239.11.0.84:1025
韶关公共高清,${host}/udp/239.11.0.85:1025
惠州综合高清,${host}/udp/239.21.0.27:3448
惠州公共高清,${host}/udp/239.21.0.28:3452
珠海公共高清,${host}/udp/239.10.0.65:1025
湛江新闻高清,${host}/udp/239.10.0.253:1025
湛江公共高清,${host}/udp/239.10.0.254:1025
肇庆新闻高清,${host}/udp/239.11.0.53:1025
肇庆生活高清,${host}/udp/239.11.0.54:1025
河源公共高清,${host}/udp/239.21.0.49:3536
清远综合高清,${host}/udp/239.11.0.74:1025
清远公共高清,${host}/udp/239.11.0.75:1025
汕尾综合高清,${host}/udp/239.21.0.89:3696
汕尾公共高清,${host}/udp/239.21.0.90:3700
揭阳综合高清,${host}/udp/239.21.0.91:3704
揭阳公共高清,${host}/udp/239.21.0.92:3708
广东综艺4K,${host}/udp/239.10.0.75:1025
南国都市4K,${host}/udp/239.11.0.170:1025
CHC高清电影,${host}/udp/239.21.0.119:3820
求索记录,${host}/udp/239.21.0.118:3816
金鹰卡通,${host}/udp/239.21.0.115:3804
早期教育,${host}/udp/239.21.0.106:3764
中国交通,${host}/udp/239.20.0.68:3128
快乐垂钓,${host}/udp/239.21.0.121:3828
茶频道,${host}/udp/239.21.0.120:3824
